Timestamp,Temperature_C,Wind_km_h,Humidity_%,Precipitation_%,Irradiance_kWh_m2_h
2025-01-10 00:00:00,21,9,92,14.98,0.0
2025-01-10 01:00:00,21,9,93,15.87,0.0
2025-01-10 02:00:00,20,11,95,17.66,0.0
2025-01-10 03:00:00,20,7,95,19.06,0.0
2025-01-10 04:00:00,20,13,96,19.84,0.0
2025-01-10 05:00:00,20,13,96,20.0,0.0009
2025-01-10 06:00:00,20,11,95,19.69,0.0164
2025-01-10 07:00:00,20,9,96,19.22,0.0254
2025-01-10 08:00:00,21,9,95,17.7,0.0461
2025-01-10 09:00:00,20,13,94,14.64,0.0701
2025-01-10 10:00:00,22,11,91,8.44,0.1221
2025-01-10 11:00:00,23,9,85,3.3,0.2213
2025-01-10 12:00:00,24,9,82,0.0,0.2729
2025-01-10 13:00:00,24,15,80,0.0,0.2951
2025-01-10 14:00:00,23,13,79,0.0,0.285
2025-01-10 15:00:00,24,9,78,0.0,0.2571
2025-01-10 16:00:00,23,11,81,0.0,0.1752
2025-01-10 17:00:00,23,13,80,0.0,0.1272
2025-01-10 18:00:00,23,9,84,0.0,0.0526
2025-01-10 19:00:00,23,15,84,0.0,0.0034
2025-01-10 20:00:00,23,13,86,2.68,0.0
2025-01-10 21:00:00,22,17,90,6.61,0.0
2025-01-10 22:00:00,22,20,91,10.81,0.0
2025-01-10 23:00:00,22,24,91,12.62,0.0
2025-01-11 00:00:00,20,9,90,13.62,0.0
2025-01-11 01:00:00,20,9,92,15.11,0.0
2025-01-11 02:00:00,20,7,94,16.67,0.0
2025-01-11 03:00:00,20,7,95,17.79,0.0
2025-01-11 04:00:00,21,4,95,18.13,0.0
2025-01-11 05:00:00,20,6,94,18.29,0.0011
2025-01-11 06:00:00,20,9,95,18.44,0.0163
2025-01-11 07:00:00,20,7,95,17.98,0.0317
2025-01-11 08:00:00,20,7,94,15.98,0.0552
2025-01-11 09:00:00,21,7,92,13.24,0.0934
2025-01-11 10:00:00,22,15,88,10.37,0.1627
2025-01-11 11:00:00,22,15,91,9.34,0.1328
2025-01-11 12:00:00,22,15,88,9.38,0.1818
2025-01-11 13:00:00,22,15,91,10.47,0.1328
2025-01-11 14:00:00,22,13,93,10.31,0.0949
2025-01-11 15:00:00,22,7,90,6.82,0.1167
2025-01-11 16:00:00,23,7,87,3.02,0.1197
2025-01-11 17:00:00,24,13,83,0.0,0.1078
2025-01-11 18:00:00,23,19,86,0.0,0.0458
2025-01-11 19:00:00,23,17,85,0.0,0.0029
